event_time,beta_did,se,ci_lo,ci_hi
-24,-0.2605955088128413,0.4187875333969495,-1.0814190742708623,0.5602280566451797
-21,-0.2507726358618836,0.4187874722624153,-1.0715960814962175,0.5700508097724504
-18,2.2444397503075266,1.5337621690719043,-0.7617341010734058,5.250613601688459
-15,-0.2042361697173097,0.3438350141884313,-0.8781527975266351,0.46968045809201564
-12,-0.1972009519162861,0.3438350417201385,-0.8711176336877575,0.4767157298551854
-9,-0.19425775845297705,0.3438348735282842,-0.868174110568414,0.47965859366245994
-6,0.46796342139651265,0.5801145478301333,-0.6690610923505484,1.6049879351435739
0,-0.18220819064505175,,,
3,-0.17194432876159307,0.00017398190092546883,-0.172285333287407,-0.17160332423577915
6,0.3841568867478653,1.0849110861624849,-1.742268842130605,2.5105826156263356
9,-0.16961989054360715,0.14157411681399834,-0.4471051594990439,0.10786537841182958
12,-0.16141355045100625,0.14157413197496926,-0.438898849121946,0.11607174821993349
15,-0.1550270845769374,0.14157406886164403,-0.43251225954575967,0.1224580903918849
18,-0.9282260953283479,1.029207691203045,-2.945473170086316,1.0890209794296202
21,-0.13895084746956865,0.18082204431715637,-0.4933620543311951,0.21546035939205782
24,-0.07348225291106444,0.18082159496527028,-0.42789257904299416,0.2809280732208653
