term,coef,se,z,p,conf_lo,conf_hi
Intercept,-29.175161770021592,238.21238353654232,-0.122475420198069,0.9025225112670867,-496.06285417308663,437.71253063304346
C(region)[T.Asia],-22.593764600744173,12.576822730076886,-1.7964604483700193,0.07242131758156165,-47.24388419163959,2.0563549901512417
C(region)[T.EU],-1.0668740932387302,0.5798328357493104,-1.8399683968570402,0.06577287722521498,-2.203325568361107,0.06957738188364693
C(region)[T.MENA],-0.5191706553918977,0.8050452395542173,-0.6448962491590924,0.518994422587078,-2.097030330843584,1.0586890200597883
C(region)[T.North_America],-0.5412141525216325,0.4789642652870241,-1.1299677068753857,0.2584898321178648,-1.4799668623658877,0.3975385573226228
C(region)[T.Other],-1.1136372839264446,0.6803890996405552,-1.6367653222468899,0.10167951413946713,-2.447175414695567,0.21990084684267774
C(region)[T.Other_Europe],-0.1057431465032202,0.5171464171528215,-0.20447429005772677,0.8379828811248773,-1.1193314988566772,0.9078452058502369
C(sponsor_type)[T.Oil_major],21.939724862195252,114.63680994100902,0.19138464227576832,0.8482242513662637,-202.74429392474568,246.62374364913617
C(sponsor_type)[T.Other],21.626419801919734,97.88162204694316,0.2209446405735685,0.8251355380737038,-170.2180341584506,213.47087376229004
C(sponsor_type)[T.Pure_play],0.3539917330530857,211.22482842779684,0.001675900204005094,0.9986628257277185,-413.6390646260809,414.34704809218704
C(sponsor_type)[T.Steel],0.7754222114805818,119.59262669190811,0.006483863035120111,0.994826662038211,-233.62181892120284,235.17266334416402
C(sponsor_type)[T.Unknown],22.68774429462234,205.11123222179918,0.110611905788215,0.9119241059717539,-379.32288368473553,424.6983722739802
C(sponsor_type)[T.Utility],-1.2004674597389828,,,,,
is_blue_ccs,3.8184038037203165,0.8118388174450081,4.703401366957876,2.5586272899409157e-06,2.2272289602765127,5.40957864716412
mkt_eua_z,2.26901323057404,1.0032690892404512,2.2616197936406577,0.02372090401165761,0.30264194886045415,4.2353845122876255
blue_x_eua,-2.2777515305117046,1.0315870019604731,-2.20800720267216,0.027243771076234654,-4.299624901273882,-0.255878159749527
year_since_start,0.3728112239180885,0.17505047177309987,2.129735613631055,0.033193447004430644,0.029718603766067442,0.7159038440701095
I(year_since_start ** 2),-0.05376947588569738,0.03384450440251154,-1.5887210297488428,0.11212338894236491,-0.12010348558922732,0.012564533817832547
log_capacity_mw,0.29932260576668046,0.06142159457707689,4.873247069335944,1.097787899879267e-06,0.17893849252258906,0.41970671901077183
