,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.20154903712841807,0.12261412224002423,1.6437669123779575,0.10022435842182721,-0.038770226458021084,0.4418683007148572
exposed,-0.45670803863305737,0.15041267239674821,-3.0363667592341175,0.0023944791107907227,-0.7515114593491058,-0.16190461791700894
post_cbam_vintage,0.11133193232025049,0.15336818220435772,0.725912837461323,0.4678922061386085,-0.18926418117466745,0.4119280458151684
EP,0.07181208436181437,0.23624881642356854,0.303968017486543,0.7611522573051934,-0.3912270872185948,0.5348512559422235
is_blue,0.08998792107423004,0.2085745995537367,0.43144237729218676,0.6661467423873962,-0.3188107821409579,0.498786624289418
log_capacity,0.14877450955721197,0.015052011525121766,9.884028411013885,4.882954015678911e-23,0.1192731090730915,0.17827591004133245
