model,beta_is_blue_ccs,SE,HR
Discrete-time logit,2.05478001584518,0.4515054991912045,7.8051206808890825
Cox PH,1.8294592796277134,0.38668229527456266,6.230516780172972
GLMM frailty (sponsor RE),0.128138257026952,0.04265917721795835,1.1367101499992958
