M,delta_min,delta_max,theta_lo_id,theta_hi_id,ci_lo,ci_hi,contains_zero
0.0,-0.6611899033078432,-0.6611899033078432,1.0092408106279862,1.0092408106279862,0.7216257574043532,1.2968558638516192,False
0.05,-1.0111899033078433,-0.3111899033078432,0.6592408106279861,1.3592408106279863,0.3716257574043531,1.6468558638516193,False
0.1,-1.3611899033078432,0.03881009669215693,0.3092408106279859,1.709240810627986,0.021625757404352908,1.996855863851619,False
0.15,-1.7111899033078433,0.38881009669215694,-0.04075918937201406,2.059240810627986,-0.32837424259564707,2.3468558638516193,True
0.2,-2.0611899033078434,0.7388100966921569,-0.39075918937201404,2.409240810627986,-0.678374242595647,2.696855863851619,True
0.25,-2.411189903307843,1.088810096692157,-0.7407591893720141,2.7592408106279858,-1.028374242595647,3.0468558638516186,True
0.3,-2.761189903307843,1.4388100966921569,-1.0907591893720139,3.109240810627986,-1.378374242595647,3.396855863851619,True
0.4,-3.461189903307843,2.138810096692157,-1.790759189372014,3.8092408106279856,-2.078374242595647,4.096855863851618,True
0.5,-4.161189903307843,2.8388100966921574,-2.4907591893720147,4.509240810627986,-2.778374242595648,4.796855863851619,True
0.75,-5.911189903307845,4.588810096692157,-4.240759189372014,6.259240810627988,-4.528374242595647,6.546855863851621,True
1.0,-7.661189903307843,6.338810096692156,-5.990759189372013,8.009240810627986,-6.278374242595646,8.296855863851619,True
1.5,-11.161189903307843,9.838810096692159,-9.490759189372016,11.509240810627986,-9.778374242595648,11.796855863851619,True
2.0,-14.661189903307845,13.338810096692159,-12.990759189372016,15.009240810627988,-13.278374242595648,15.29685586385162,True
