CATE_dml,CATE_t_learner,log_capacity,years_since_announce,region_eu,region_na,region_asia,post_cbam_proposal,sponsor_corporate
-0.006640939315396824,0.014107100321362268,8.202756381655638,6.0,1,0,0,0,0
0.02462070688793838,-0.017075514474185274,10.089510583746897,5.0,1,0,0,1,0
0.07628720073954136,0.11646314662571208,5.707110264748875,6.0,1,0,0,0,0
0.17596424462665866,0.07339832971108273,6.90875477931522,5.0,1,0,0,1,0
0.06336175005552964,0.2778635249092086,2.3978952727983707,12.0,0,1,0,0,0
-0.005607918342212045,-0.020086081373188958,8.989319566042951,4.0,1,0,0,1,0
0.024730628614588107,-0.015430906846732248,10.101108146619252,5.0,1,0,0,1,0
0.02064127069518361,0.024049648100180343,9.707898368741269,5.0,1,0,0,1,0
-0.1058955442666244,0.29125728221050295,2.833213344056216,17.0,1,0,0,0,0
0.08149607028928003,0.2121763636927333,1.9459101490553132,11.0,1,0,0,0,0
0.09196659619263224,0.28156920576185873,2.0794415416798357,21.0,1,0,0,0,0
-0.07908713402040551,0.2822875580438221,2.8903717578961645,21.0,1,0,0,0,0
-0.11282516933300385,0.2913644250676458,2.8903717578961645,17.0,1,0,0,0,0
-0.16584443489127776,0.2838768635525362,4.02535169073515,21.0,1,0,0,0,0
0.09521183905783262,0.29010365765011303,0.0,25.0,1,0,0,0,0
0.09521183905783262,0.29010365765011303,0.0,29.0,1,0,0,0,0
0.11121191660178414,0.2923877586318045,1.0986122886681098,15.0,1,0,0,0,0
-0.14403193344478565,0.2663525409479858,3.5553480614894135,19.0,1,0,0,0,0
0.11121545691602762,0.08161072525357732,5.860786223465865,5.0,1,0,0,1,0
0.016382753315217956,0.02802037555684935,9.61587214452889,5.0,1,0,0,1,0
0.00448769734098429,0.10399750056046474,0.0,6.0,0,1,0,0,0
0.015224794785593854,0.026573753839107428,10.949331775665582,6.0,1,0,0,0,0
0.024072945029063084,0.0440757763094925,10.596659732783579,5.0,1,0,0,1,0
0.012237590632849103,-0.07535413360554254,8.006700845440367,6.0,1,0,0,0,0
0.012477369573267838,-0.03628456916984858,10.043292972227004,6.0,1,0,0,0,0
0.042328894987502176,-0.014320913230638735,11.55418256481843,4.0,1,0,0,1,0
-0.0028111771937442145,0.1215257908156304,3.332204510175204,7.0,1,0,0,0,0
0.013598250222953669,0.029495914213213535,4.990432586778736,4.0,1,0,0,1,0
0.029222658978437618,0.035089591381530665,5.680172609017068,4.0,1,0,0,1,0
0.015483881172809402,0.1249259518850802,4.990432586778736,7.0,1,0,0,0,0
0.029540371668809497,0.2877203133096556,4.07753744390572,13.0,0,1,0,0,0
0.07305994020330066,0.11685137681657387,5.680172609017068,6.0,1,0,0,0,0
-0.030323845551310454,-0.036228269996599796,8.006700845440367,5.0,1,0,0,1,0
0.03689831009259449,0.12022088237227088,4.990432586778736,5.0,1,0,0,1,0
0.010532134454659612,0.1236583643944237,4.709530201312334,7.0,1,0,0,0,0
0.050999076972630966,0.03347514959574364,11.441171642706838,5.0,1,0,0,1,0
0.026699613091112687,0.17140213895006326,3.5553480614894135,9.0,1,0,0,0,0
-0.00398224482895942,0.15945469270292187,2.9444389791664403,8.0,1,0,0,0,0
0.023115495934191772,0.17125630561672994,3.6635616461296463,9.0,1,0,0,0,0
0.034985397456914966,0.16593913511792507,0.0,10.0,1,0,0,0,0
0.05226633897352334,0.16312917641006042,2.1972245773362196,10.0,1,0,0,0,0
0.13616856213775969,0.10872818706750534,6.2422232654551655,5.0,1,0,0,1,0
-0.018743883476569485,0.09436058773500844,5.081404364984463,6.0,0,1,0,0,0
0.015483881172809402,0.1249259518850802,4.990432586778736,7.0,1,0,0,0,0
0.0039319477854975774,0.05052709570475217,10.239995502805316,9.0,1,0,0,0,0
0.04102991886660159,0.17449285497060496,3.6635616461296463,10.0,1,0,0,0,0
0.07800573514980966,0.213312225001312,2.772588722239781,11.0,1,0,0,0,0
0.08416374238916137,0.28476546518370865,0.0,15.0,1,0,0,0,0
0.08416374238916137,0.28476546518370865,0.0,15.0,1,0,0,0,0
0.03928879871435282,0.17449285497060496,3.912023005428146,10.0,1,0,0,0,0
0.09055348895468657,0.2778259034605898,0.0,19.0,1,0,0,0,0
-0.15056676800172228,0.2916982476713221,3.713572066704308,16.0,1,0,0,0,0
-0.19005065538543578,0.2674601191433543,3.9512437185814275,19.0,1,0,0,0,0
-0.01824890473238517,0.2422774286371291,2.70805020110221,19.0,1,0,0,0,0
0.15782522146019756,0.28461127261875674,0.6931471805599453,28.0,1,0,0,0,0
-0.10235862235862539,0.2705045113143039,3.8918202981106265,19.0,0,0,0,0,0
0.08913905382230286,0.061795803549719294,5.7745515455444085,5.0,0,0,0,1,0
0.007513328353315158,0.168941184535791,3.8918202981106265,9.0,0,0,0,0,0
0.040627564569039765,0.2132107126106158,4.04305126783455,11.0,0,0,0,0,0
0.032669916280219605,0.18052949592115344,5.707110264748875,10.0,0,0,0,0,0
0.04024897771535534,0.2915177417829736,1.791759469228055,17.0,0,0,0,0,0
-0.11759169549199139,0.2919810763227365,4.04305126783455,17.0,0,0,0,0,0
0.06309608874245388,0.284736209728486,0.0,17.0,0,0,0,0,0
-0.12662503039644823,0.29203940965606984,4.23410650459726,17.0,0,0,0,0,0
0.05682471880784023,0.29126620481492593,0.6931471805599453,18.0,0,1,0,0,0
0.15156821970969414,0.0452375369785675,5.902633333401366,6.0,1,0,0,0,0
0.037828306311497834,0.2883181295853005,1.791759469228055,20.0,0,1,0,0,0
0.06952785642091652,0.291469705434332,0.0,21.0,0,1,0,0,0
0.021414111291496472,0.11528534679818891,0.0,5.0,0,0,0,1,0
0.021414111291496472,0.11528534679818891,0.0,5.0,0,0,0,1,0
0.011965224939169485,0.03259820105534582,10.308985993422082,5.0,0,0,0,1,0
0.12065970146665256,0.1742885623365934,5.8377304471659395,11.0,1,0,0,0,0
0.02778004104075206,0.28735931981081647,2.0794415416798357,21.0,0,1,0,0,0
0.010663505116709958,0.12342756957649652,4.6443908991413725,7.0,1,0,0,0,0
0.08711015968709011,0.0247728991480883,6.0844994130751715,4.0,1,0,0,1,0
0.19627847670903595,0.08448708176368,6.688354713946762,5.0,1,0,0,1,0
0.12552838477887157,0.07382967738553635,7.443663683115591,5.0,1,0,0,1,0
-0.007413424526405552,0.014073316728832455,9.012011377036412,7.0,1,0,0,0,0
