Project name,Primary owner,is_oil_major,tech_label,capacity_tpy,is_megaproject,announce_year,project_status,event_any,Primary end use sector
Hy2Go Glasgow H2,,0,Green,800.0,0,2020.0,On-hold (assumed),1,Transport (road)
Humber Zero VPI Immingham,,0,Blue,210240.0,1,2021.0,On-hold (assumed),1,Power & heat
"HARI project, West Beacon Farm",,0,Green,8.0,0,2002.0,Fully commissioned,0,Power & heat
H2Teesside,BP p.l.c.,1,Blue,160000.0,1,2021.0,Plans cancelled,1,Industry (other)
Grangemouth H2,Storegga Geotechnologies Limited,1,Blue,190000.0,1,2021.0,On-hold (assumed),1,Industry (refinery feedstock)
Glasgow H2,,0,Green,2920.0,0,2020.0,On-hold (confirmed),1,Transport (road)
Gigastack,,0,Green,14564.0,0,2021.0,On-hold (confirmed),1,Industry (refinery feedstock)
Gigastack,,0,Green,767.0,0,2020.0,On-hold (assumed),1,Unknown
"Fife, Levenmouth Community Energy Project III",,0,Green,9.0,0,2014.0,Fully commissioned,0,Power & heat
"Fife, Levenmouth Community Energy Project II",,0,Green,9.0,0,2014.0,Fully commissioned,0,Power & heat
"Fife, Levenmouth Community Energy Project I",,0,Green,37.0,0,2014.0,Fully commissioned,0,Power & heat
Dorset Green H2,,0,Green,120.0,0,2021.0,Fully commissioned,0,Industry (other)
Dolphyn H2,,0,Green,321.0,0,2020.0,Plans cancelled,1,Power & heat
DelpHYnus H2,Neptune Energy Group Ltd,1,Blue,400000.0,1,2021.0,Plans cancelled,1,Gas grid
Cavendish,Uniper SE,1,Blue,183960.0,1,2021.0,Plans cancelled,1,Power & heat
Baglan Energy Park Wales H2,,0,Green,10.0,0,2006.0,Fully commissioned,0,Other
Arbikie Distillery H2,,0,Green,142.0,0,2021.0,On-hold (assumed),1,Power & heat
Tees Green Hydrogen,,0,Green,1283.0,0,2022.0,Permitted,0,Industry (other)
Aberdeen Hydrogen Hub,,0,Green,292.0,0,2021.0,Financed,0,Transport (road)
H100 Fife,,0,Green,764.0,0,2022.0,Under construction,0,Power & heat
H2H Saltend,Equinor ASA,1,Blue,160000.0,1,2020.0,Permitted,0,Power & heat
Acorn Aberdeenshire H2,Storegga Norge AS,1,Blue,52560.0,0,2022.0,Design,0,Gas grid
"Aberdeen, Hydrogen bus project",,0,Green,171.0,0,2013.0,Decommissioned,1,Transport (road)
