rel_year,beta,se,p,ci_lower,ci_upper,phase
-7,-0.4089087384004372,0.2920465716180686,0.16146868055694252,-0.9813200187718516,0.16350254197097724,pre-CBAM
-6,-0.08158551096367236,0.24196242559607373,0.7359792806721953,-0.5558318651319769,0.3926608432046321,pre-CBAM
-5,-0.01478417036531128,0.21282711698443954,0.9446189875744575,-0.43192531965481273,0.4023569789241902,pre-CBAM
-4,-0.04325914466248465,0.24681590946655033,0.8608683740872052,-0.5270183272169233,0.44050003789195397,pre-CBAM
-3,0.8236676349831862,0.22738868965727194,0.00029200719739925303,0.3779858032549332,1.2693494667114391,pre-CBAM
-2,0.22039663443594779,0.291983104004152,0.4503529885812898,-0.35189024941219016,0.7926835182840858,pre-CBAM
-1,0.0,0.0,1.0,0.0,0.0,pre-CBAM
0,0.6250029073951973,0.30610404173472794,0.04117147963595523,0.025038985595130514,1.224966829195264,CBAM
1,0.11235456209971786,0.2520522038960433,0.6557712729067112,-0.38166775753652704,0.6063768817359628,post-CBAM
2,0.6181718834163691,0.39076340818937705,0.11365881780646762,-0.14772439663480996,1.384068163467548,post-CBAM
3,0.39425009274455225,0.4286996439461769,0.35775999932269775,-0.44600120938995447,1.234501394879059,post-CBAM
4,-0.009524909055122183,0.21129001313714166,0.9640437116686876,-0.42365333480391987,0.40460351669367545,post-CBAM
