year,rel_year,DiD,treated,control
2020,-2,-0.016994790652079636,0.18181818181818182,0.22826086956521738
2021,-1,-0.020649950263165406,0.11428571428571428,0.1643835616438356
2022,0,0.0,0.11363636363636363,0.14308426073131955
2023,1,0.0231321076212717,0.12,0.12631578947368421
2024,2,0.027692191050310816,0.1111111111111111,0.11286681715575621
2025,3,0.03584688195854696,0.10909090909090909,0.10269192422731804
2026,4,0.15365487919667487,0.34545454545454546,0.2212475633528265
