year,rel_year,DiD,treated,control
2019,-2,0.20265567765567769,0.4,0.041666666666666664
2020,-1,0.15265567765567764,0.3333333333333333,0.025
2021,0,0.0,0.16666666666666666,0.01098901098901099
2022,1,-0.09022626678876677,0.08888888888888889,0.0234375
2023,2,-0.13103997451823537,0.057971014492753624,0.03333333333333333
2024,3,-0.15182837001624477,0.05063291139240506,0.04678362573099415
2025,4,-0.1674423615600086,0.047058823529411764,0.058823529411764705
2026,5,-0.14666639159755554,0.09411764705882353,0.0851063829787234
