method,model_A,model_B,mean_diff,DM_HLN_stat,DM_HLN_pvalue,T
Time-split (train <=2021),M1,M2,0.0001165979677814,0.1200807346083573,0.9044272855735852,2982
Time-split (train <=2021),M1,M3,0.0010444522487625,1.004079917410985,0.3154215891151977,2982
Time-split (train <=2021),M2,M3,0.0009278542809811,0.6689259097792063,0.5035945391873589,2982
5-fold CV pooled,M1,M2,-0.0001069057770018565,-0.21421052646416638,0.8303931567785638,4254
5-fold CV pooled,M1,M3,0.0006015752263447422,1.5169429531062097,0.1293554091580167,4254
5-fold CV pooled,M2,M3,0.0007084810033465989,0.8737527591426961,0.38230224457440976,4254
Rolling 1-step,M1,M2,-0.0034054146766774205,-0.8976127316060419,0.3695016215706679,1973
Rolling 1-step,M1,M3,0.049962692672712396,5.58500999653751,2.660779974128502e-08,1973
Rolling 1-step,M2,M3,0.053368107349389814,4.804584555084174,1.667764798485294e-06,1973
