M,delta_min,delta_max,theta_lo_id,theta_hi_id,ci_lo,ci_hi,contains_zero
0.0,-0.2203966344359477,-0.2203966344359477,0.845399541831145,0.845399541831145,0.24544664450893272,1.4453524391533572,False
0.05,-0.2703966344359477,-0.1703966344359477,0.795399541831145,0.8953995418311449,0.1954466445089328,1.4953524391533572,False
0.1,-0.3203966344359477,-0.1203966344359477,0.745399541831145,0.9453995418311449,0.14544664450893274,1.545352439153357,False
0.15,-0.3703966344359477,-0.07039663443594771,0.6953995418311449,0.995399541831145,0.0954466445089327,1.5953524391533573,False
0.2,-0.4203966344359477,-0.02039663443594769,0.6453995418311449,1.045399541831145,0.045446644508932654,1.6453524391533572,False
0.25,-0.4703966344359477,0.029603365564052297,0.595399541831145,1.0953995418311449,-0.004553355491067279,1.695352439153357,True
0.3,-0.5203966344359476,0.07960336556405229,0.545399541831145,1.145399541831145,-0.05455335549106721,1.7453524391533572,True
0.4,-0.6203966344359477,0.17960336556405232,0.44539954183114494,1.245399541831145,-0.1545533554910673,1.8453524391533573,True
0.5,-0.7203966344359477,0.2796033655640523,0.34539954183114496,1.3453995418311449,-0.2545533554910673,1.945352439153357,True
0.75,-0.9703966344359477,0.5296033655640523,0.09539954183114496,1.5953995418311449,-0.5045533554910673,2.195352439153357,True
1.0,-1.2203966344359478,0.7796033655640523,-0.15460045816885504,1.845399541831145,-0.7545533554910673,2.4453524391533574,True
1.5,-1.7203966344359478,1.2796033655640522,-0.6546004581688549,2.345399541831145,-1.2545533554910673,2.945352439153357,True
2.0,-2.220396634435948,1.7796033655640522,-1.154600458168855,2.845399541831145,-1.7545533554910673,3.445352439153357,True
