outcome,scenario,n_events,HR_Blue,CI_lo,CI_hi,p_Blue
cancel_only,earliest,100,2.6771616324046987,1.6034728361198365,4.469794713431707,0.00016628307324006287
cancel_only,midpoint,100,2.2758840252780246,1.3675856808222093,3.787439550699036,0.0015528218136435807
cancel_only,latest,100,1.8888981657846777,1.1243804401672368,3.1732464860150325,0.016266263924576682
onhold_only,earliest,852,1.23475280811282,0.9812238731993719,1.553788629470813,0.07212666085391152
onhold_only,midpoint,852,0.9010766923577017,0.7177014422391909,1.1313049657209668,0.3695804856047653
onhold_only,latest,852,0.7730323793652786,0.61506096048604,0.9715769621842341,0.02730097122544361
decomm_only,earliest,48,1.5392050537830788,0.5766184822533824,4.1086997217517185,0.3892934104483491
decomm_only,midpoint,48,1.591126818149105,0.5923710347689715,4.273815569697239,0.3569008902405967
decomm_only,latest,48,1.63204260698785,0.6079445993477544,4.3812595323346155,0.3309497939821253
all_failure,earliest,1000,1.4819665284272734,1.2088147187847589,1.8168415367962139,0.00015409050337862254
all_failure,midpoint,1000,1.0981423770313667,0.898376855574551,1.3423283032607338,0.36078552074035897
all_failure,latest,1000,0.9467661241892479,0.7735307931293495,1.158798204123259,0.5957333625153279
