model,n_params,LLF_train,pseudo_R2_train,mean_OOS_log_loss,sum_OOS_log_loss,in_MCS_p10
M1,13,-10.170500438079277,0.6888299209537889,0.297611302020657,887.4769026255992,True
M2,14,-9.907898932394442,0.6968643074403831,0.29749470405287554,887.1292074856749,True
M3,15,-9.448609723863118,0.7109164241669769,0.29656684977189446,884.3623460197892,True
