policy,subgroup,n_in,cate_in,n_out,cate_out,cate_diff
US 45Q,is_mega,75,0.091494354256906,143,-0.011847555894542608,0.1033419101514486
US 45Q,sp_oil_major,23,0.05778744366872505,195,0.01968597370239837,0.03810146996632668
US 45Q,sp_industrial_gas,9,0.004050177082288751,209,0.02455227025171177,-0.02050209316942302
US 45Q,sect_chemical,40,0.05219293511937948,178,0.017304262199849322,0.034888672919530156
US 45Q,sect_power_heat,35,0.016391498468033727,183,0.025104773934246878,-0.008713275466213151
US 45Q,sect_transport,47,-0.011039429767469194,171,0.033255726756838654,-0.04429515652430785
US 45Q,sect_industry,30,0.05135310713704783,188,0.01929405777785598,0.03205904935919185
UK Track-1/HAR1,is_mega,36,-0.20264274697886048,505,-0.10854281188343605,-0.09409993509542443
UK Track-1/HAR1,sp_oil_major,25,-0.21474308873153486,516,-0.10996256138388726,-0.1047805273476476
UK Track-1/HAR1,sp_industrial_gas,12,-0.2208257712690058,529,-0.11239952672428379,-0.10842624454472201
UK Track-1/HAR1,sect_chemical,83,-0.23608622002267102,458,-0.0928255515949618,-0.14326066842770924
UK Track-1/HAR1,sect_power_heat,75,0.031609480199983914,466,-0.1383690341359935,0.1699785143359774
UK Track-1/HAR1,sect_transport,157,-0.15030899801061734,384,-0.10028840157475849,-0.05002059643585885
UK Track-1/HAR1,sect_industry,92,-0.2184502634828832,449,-0.09356756047204662,-0.1248827030108366
China 14th FYP,is_mega,13,0.05833008598832319,628,0.12628750496425195,-0.06795741897592876
China 14th FYP,sp_oil_major,7,0.2021717601086511,634,0.12405621753097452,0.07811554257767657
China 14th FYP,sp_industrial_gas,9,0.2071347629626995,632,0.1237383407733135,0.083396422189386
China 14th FYP,sect_chemical,120,0.10797409111030545,521,0.1288098911749746,-0.020835800064669147
China 14th FYP,sect_power_heat,53,0.12435870039841568,588,0.12495889985422173,-0.0006001994558060553
China 14th FYP,sect_transport,177,0.14877892116323801,464,0.11580382583945104,0.03297509532378698
China 14th FYP,sect_industry,85,0.11634914614320772,556,0.12621792592306794,-0.009868779779860212
EU IF eligible,is_mega,36,0.10425309779846136,505,0.14585703032369768,-0.04160393252523632
EU IF eligible,sp_oil_major,25,0.10613675070409678,516,0.144878862532189,-0.03874211182809223
EU IF eligible,sp_industrial_gas,12,0.11354135728650988,529,0.1437588195591188,-0.030217462272608908
EU IF eligible,sect_chemical,83,0.10851422775176928,458,0.1493542160061465,-0.040839988254377235
EU IF eligible,sect_power_heat,75,0.210409104204704,466,0.13225371034089947,0.07815539386380452
EU IF eligible,sect_transport,157,0.14933416568637795,384,0.14053502036836096,0.008799145318016982
EU IF eligible,sect_industry,92,0.044515160501857574,449,0.1632862295502028,-0.11877106904834522
