event,HR_us_green,HR_interaction,p_interaction,n_events
cancel,4.058970779812681,1.9789959148606903e-07,0.9958304502941026,49
on_hold,1.1012325643433463,0.9225184683001861,0.999990855482004,227
any_failure,1.2250458060015852,3.84255495909567e-06,0.9909125618339387,367
