year,score_residual,log_sig2_t,sigma_t,sigma_t_pct
2010,0.0028479599148415,-0.11487482375827801,0.9441809830506354,92.57968673569478
2011,0.0075382913573756,-0.23169347558032743,0.890611709956856,87.32706397511222
2012,0.013608773509165,-0.1897015146727697,0.9095086618350959,89.17996497243419
2013,0.0201697728308781,-0.20477565167663175,0.9026794013790305,88.51033615655165
2014,0.0239119280259629,-0.1993258324584492,0.9051424754568341,88.75184772120222
2015,0.0267545132055909,-0.20126129457073705,0.9042669646709149,88.66600134667323
2016,0.0312678359246692,-0.20054495522537746,0.9045909036827682,88.69776450731426
2017,0.0334036744685731,-0.2007650954869411,0.9044913407232502,88.6880020700611
2018,-0.2121143574586406,-0.20066622257306133,0.9045360566757584,88.69238659903343
2019,0.0053171998341998,-0.1944371020628763,0.907357680504969,88.96905500782755
2020,-0.022458946077156,-0.20309582277967492,0.903437893340181,88.58470849555808
2021,-0.2082788403943708,-0.1999156943891322,0.9048755602754869,88.72567591270605
2022,-0.1526240995354083,-0.19494170943249567,0.9071287796962103,88.94661061893511
2023,3.48468461007157,-0.19961155240638503,0.9050131760624271,88.73916954017103
2024,2.1493653804611346,1.5307016548743715,2.14974843310867,210.7890754743977
2025,-0.5576217807806312,-0.7063370751862821,0.702458792685838,68.87812415101521
2026,0.7013446008669622,0.054490046307758604,1.0276195625049398,100.76108170786678
