year,rel_year,DiD,treated,control
2019,-2,-0.13743207807304478,0.0,0.30633802816901406
2020,-1,-0.06451580056716069,0.0,0.23342175066312998
2021,0,0.0,0.0,0.1689059500959693
2022,1,0.01690595009596929,0.0,0.152
2023,2,0.029561687800887332,0.0,0.13934426229508196
2024,3,0.03624011780560632,0.0,0.13266583229036297
2025,4,0.04447672635167706,0.0,0.12442922374429223
2026,5,-0.05714391867043494,0.041666666666666664,0.2677165354330709
