state,green_n,blue_n,blue_pct,green_pct
cancelled,25,24,8.791208791208792,2.3126734505087883
decommissioned,86,5,1.8315018315018317,7.955596669750231
on_hold,135,92,33.6996336996337,12.488436632747456
operational,368,38,13.91941391941392,34.04255319148936
still_active,467,114,41.75824175824176,43.20074005550416
