spec,R_max_label,R_max_value,delta,beta_adj_delta1
EU 2x2 DiD,1.3 × R²_full,0.081069338105762,-7.04375457872133,0.3947620817469851
EU 2x2 DiD,Oster suggested,0.13719426448667416,-1.7609386446803326,0.5419926111783312
EU 2x2 DiD,R²_max = 1.0 (maximum possible),1.0,-0.1405410182862186,2.8053603058437036
Triple-difference,1.3 × R²_full,0.1261744421641474,64.38777624051771,0.19240245150995444
Triple-difference,Oster suggested,0.21352597904701867,16.096944060129424,0.18329647889561762
Triple-difference,R²_max = 1.0,1.0,2.076311517100227,0.10131038967216041
v7 hazard model,1.3 × R²_full,0.07703861124243289,-6.67388146363754,0.12635841299610995
v7 hazard model,Oster suggested,0.13037303441027104,-1.668470365909385,0.17575652277726392
v7 hazard model,R²_max = 1.0,1.0,-0.12612333413344734,0.9812012199040876
