estimator,ATE,SE,p,CI_lo,CI_hi,N,R2,delta_null
Naive (unconditional),-0.15137108829367726,,,,,1121,0.016115602726498035,
LPM with rich controls,-0.13144978025739876,0.030359493691407998,1.4926169170838319e-05,-0.19095329448142942,-0.0719462660333681,1121,0.20037761173688984,
PSM 1:3 nearest-neighbor,-0.11046511627906977,0.033407121322598224,0.0009442424619379164,-0.17594307407136228,-0.04498715848677726,935,,
IPWRA (doubly robust),-0.13312981658555578,0.226857797436333,0.5573094323387293,-0.5777710995607684,0.3115114663896569,822,,
Oster (2019) δ=1 adj.,-0.12495069103180656,,,,,1121,,20.2258771380512
