t,tau_H,tau_H_ci_lo,tau_H_ci_hi,tau_H_p,tau_F,tau_F_ci_lo,tau_F_ci_hi,n_boot_valid
2024,-0.0001871948399296097,-0.00328076284702376,0.0028418960806220143,0.844,-0.0012813443141328484,-0.0222321231538593,0.019475737804012447,500
2025,0.0004313504644140385,-0.002419121720753544,0.0033107733825293176,0.82,0.003390921457980922,-0.01894695386419599,0.02613945025764558,500
2026,0.001462009395441513,-0.0015090280348149974,0.004313182405727265,0.38,0.012934116823992259,-0.013175153712995298,0.03798550600343669,500
