train_max_year,test_years,n_train,n_test,events_train,events_test,oos_auc,oos_brier
2019,2020-2021,132,209,7,20,0.3318783068783069,0.1086862432181902
2021,2022-2023,341,229,27,14,0.694186046511628,0.058924186691526624
