M_bar,ci_lo,ci_hi,contains_zero
0.0,-0.16585828060650104,0.4129606857834827,True
0.1,-0.18902060015422173,0.43612300533120335,True
0.2,-0.21218291970194236,0.45928532487892404,True
0.30000000000000004,-0.23534523924966305,0.4824476444266447,True
0.4,-0.2585075587973837,0.5056099639743654,True
0.5,-0.2816698783451044,0.528772283522086,True
0.6000000000000001,-0.30483219789282506,0.5519346030698067,True
0.7000000000000001,-0.3279945174405457,0.5750969226175273,True
0.8,-0.35115683698826633,0.598259242165248,True
0.9,-0.374319156535987,0.6214215617129686,True
1.0,-0.39748147608370765,0.6445838812606893,True
1.1,-0.42064379563142834,0.6677462008084101,True
1.2000000000000002,-0.44380611517914903,0.6909085203561307,True
1.3,-0.46696843472686966,0.7140708399038513,True
1.4000000000000001,-0.49013075427459035,0.737233159451572,True
1.5,-0.5132930738223109,0.7603954789992926,True
1.6,-0.5364553933700316,0.7835577985470132,True
1.7000000000000002,-0.5596177129177523,0.8067201180947339,True
1.8,-0.5827800324654729,0.8298824376424545,True
1.9000000000000001,-0.6059423520131937,0.8530447571901754,True
2.0,-0.6291046715609143,0.876207076737896,True
2.1,-0.652266991108635,0.8993693962856166,True
2.2,-0.6754293106563556,0.9225317158333373,True
2.3000000000000003,-0.6985916302040762,0.9456940353810579,True
2.4000000000000004,-0.7217539497517971,0.9688563549287788,True
2.5,-0.7449162692995175,0.9920186744764992,True
2.6,-0.7680785888472383,1.01518099402422,True
2.7,-0.791240908394959,1.0383433135719407,True
2.8000000000000003,-0.8144032279426796,1.0615056331196613,True
2.9000000000000004,-0.8375655474904002,1.084667952667382,True
3.0,-0.8607278670381209,1.1078302722151026,True
