policy,b_offtake,b_policy,b_interaction,p_interaction,relation
UK_Track,-0.13684051128321567,-0.17507240976132593,-0.02917317310801028,0.75846413305181,"COMPLEMENT (offtake + policy beide protectief, samen sterker)"
China_FYP,-0.1620800872855249,0.1386396802612124,0.10764191953641218,0.0025074066279773335,ambiguous
EU_IF,-0.13371019603316334,0.06890687672570042,0.02853078544386062,0.6406168321737753,ambiguous
