policy,event_time_col,coef,se
US_45Q,es_pre,0.02993438912949577,0.04662890444953152
US_45Q,es_-4,-0.049373631568739945,0.04513464027496803
US_45Q,es_-3,0.09743844716914811,0.1187256622259446
US_45Q,es_-2,0.00022333601305784151,0.0028671341937789208
US_45Q,es_0,-0.013299829248269262,0.010291180152421997
US_45Q,es_1,-0.02379421442498393,0.012364008449140746
US_45Q,es_2,-0.0336705098978477,0.01423125519212912
US_45Q,es_3,-0.07559201744472091,0.06561079809663528
US_45Q,es_post,-3.6987910652242e-17,3.9463009222085074e-17
EU_IF,es_pre,0.08319644385288767,0.01706123550087734
EU_IF,es_-4,0.002982226021515239,0.028853833935348773
EU_IF,es_-3,0.03787126495038103,0.028921919683323884
EU_IF,es_-2,-0.010300985328906933,0.013610572015670872
EU_IF,es_0,0.004924933535739599,0.00964235386588811
EU_IF,es_1,0.01128000278889791,0.002251814092073977
EU_IF,es_2,0.009677698635303204,0.008804292957615915
EU_IF,es_3,0.00809668752110498,0.0067486983237851975
EU_IF,es_post,-0.01124878290608288,0.008369865858023143
UK_Track,es_pre,-0.02820290600030978,0.022974879775332933
UK_Track,es_-4,0.07167388019645571,0.0749825425608919
UK_Track,es_-3,-0.007566412444428856,0.00700307755972665
UK_Track,es_-2,-0.01259496706674114,0.006756189204513721
UK_Track,es_0,-0.0051822187194452895,0.01704888294512826
UK_Track,es_1,-0.0033438792466041435,0.015086923806375746
UK_Track,es_2,0.01275109800400767,0.01841265983325472
UK_Track,es_3,0.027062209156205712,0.022072540661795377
UK_Track,es_post,0.14411083195845606,0.05652086196575909
China_FYP,es_pre,-0.033596280183242705,0.008614534358761533
China_FYP,es_-4,-0.016670649513191773,0.008631106671917556
China_FYP,es_-3,-0.003879531881726474,0.0021176602717406967
China_FYP,es_-2,-0.0066806158331131765,0.003786758862436148
China_FYP,es_0,-0.01570945850267549,0.005114112642121663
China_FYP,es_1,-0.014315662331265197,0.004468841421920969
China_FYP,es_2,-0.009883894850441501,0.003525591577696584
China_FYP,es_3,-0.007710975523263101,0.0029218243393171386
China_FYP,es_post,-0.1275306608865146,0.0200109461755911
