year,UK_failure_rate,EU_failure_rate,UK_n_risk,EU_n_risk
2018,0.25,0.40939597315436244,16,149
2019,0.23529411764705882,0.3609467455621302,17,169
2020,0.15384615384615385,0.2966507177033493,26,209
2021,0.07692307692307693,0.21754385964912282,52,285
2022,0.07462686567164178,0.2,67,325
2023,0.07894736842105263,0.17724867724867724,76,378
2024,0.09876543209876543,0.1715686274509804,81,408
2025,0.13253012048192772,0.1570796460176991,83,452
2026,0.42168674698795183,0.2816593886462882,83,458
