M_bar,ci_lo,ci_hi,contains_zero,excludes_neg
0.0,-0.12089142713423107,0.9542676322319882,True,False
0.1,-0.1440537466819517,0.9774299517797088,True,False
0.2,-0.1672160662296724,1.0005922713274296,True,False
0.30000000000000004,-0.19037838577739308,1.0237545908751502,True,False
0.4,-0.2135407053251137,1.0469169104228708,True,False
0.5,-0.23670302487283434,1.0700792299705915,True,False
0.6000000000000001,-0.2598653444205551,1.093241549518312,True,False
0.7000000000000001,-0.2830276639682757,1.116403869066033,True,False
0.8,-0.30618998351599636,1.1395661886137534,True,False
0.9,-0.329352303063717,1.1627285081614742,True,False
1.0,-0.3525146226114377,1.1858908277091949,True,False
1.1,-0.37567694215915837,1.2090531472569155,True,False
1.2000000000000002,-0.39883926170687906,1.2322154668046361,True,False
1.3,-0.4220015812545997,1.2553777863523568,True,False
1.4000000000000001,-0.4451639008023204,1.2785401059000776,True,False
1.5,-0.468326220350041,1.301702425447798,True,False
1.6,-0.49148853989776164,1.3248647449955189,True,False
1.7000000000000002,-0.5146508594454824,1.3480270645432395,True,False
1.8,-0.537813178993203,1.3711893840909601,True,False
1.9000000000000001,-0.5609754985409237,1.3943517036386808,True,False
2.0,-0.5841378180886443,1.4175140231864014,True,False
2.1,-0.6073001376363649,1.440676342734122,True,False
2.2,-0.6304624571840857,1.4638386622818427,True,False
2.3000000000000003,-0.6536247767318063,1.4870009818295635,True,False
2.4000000000000004,-0.676787096279527,1.5101633013772842,True,False
2.5,-0.6999494158272476,1.5333256209250048,True,False
2.6,-0.7231117353749683,1.5564879404727254,True,False
2.7,-0.746274054922689,1.579650260020446,True,False
2.8000000000000003,-0.7694363744704097,1.6028125795681667,True,False
2.9000000000000004,-0.7925986940181303,1.6259748991158876,True,False
3.0,-0.815761013565851,1.649137218663608,True,False
