fold,auc,brier,n_train,n_test,events_test
1,0.7888888888888889,0.05215842877028646,571,143,8
2,0.7383913764510779,0.06142673870192182,571,143,9
3,0.6861525704809287,0.05643226437505105,571,143,9
5,0.8302238805970149,0.0499097302862337,572,142,8
