param,beta,se,p
is_blue,0.2319044427138324,0.14091532786719965,0.099825410922513
blue_x_logcap,-0.022712419977269048,0.015129447196288899,0.13330223610590025
blue_x_EU,0.3308482716291141,0.25296381549008035,0.19091139022772674
blue_x_post,0.13889714660237798,0.1367003688276206,0.3095960438822989
