specification,beta,se_asymptotic,p_asymptotic,p_wcb,ci_asymp_lo,ci_asymp_hi,ci_wcb_lo,ci_wcb_hi,B
EU 2x2 DiD (year-cluster),0.3456852386032031,0.17068825724580694,0.042842393964107384,0.12412412412412413,0.01113625440142152,0.6802342228049847,-0.14662962457536782,0.838000101781774,999
Triple-difference (year-cluster),0.19543777571473336,0.19916797727352098,0.3264590813323336,0.2782782782782783,-0.19493145974136777,0.5858070111708344,-0.18914353550791663,0.5800190869373834,999
EU 2x2 DiD (sponsor-cluster),0.3456852386032031,0.17068825724580694,0.042842393964107384,0.5145145145145145,0.01113625440142152,0.6802342228049847,-0.18543932750532754,0.8768098047117338,999
