test,stat,p_value
Ljung-Box Q(1),1.163181357110836,0.2808067307944171
Ljung-Box Q(3),2.1454938942723856,0.5427640059123877
Ljung-Box Q(5),2.318995551802744,0.803472947822379
AR(1) ρ̂,0.24292393541637852,0.4173256333556882
Runs test z,-1.0350983390135313,0.3006229881969067
F-test variance pre/post,328.1103914754204,6.7640064660423604e-09
