treatment_year,t,tau_H,tau_H_ci_lo,tau_H_ci_hi,tau_H_p,tau_F,tau_F_ci_lo,tau_F_ci_hi,n_boot,test
2024,2024,-0.0003143680622850441,-0.0014929935640528406,0.0009560505901874093,0.64,-0.002152041762138124,-0.010155671331988846,0.006568514284555139,500,2A_anticipation
2024,2025,0.00021839756267271783,-0.00110297812602199,0.0014562286774982174,0.744,0.0017096502794426982,-0.008581095887603543,0.011447928069933446,500,2A_anticipation
2024,2026,-0.0002393747270135532,-0.0016092121893498195,0.001269216873518977,0.788,-0.0020919762806724806,-0.013935993081087056,0.01114931946814127,500,2A_anticipation
2026,2026,-0.000457772289686271,-0.001134669460930169,0.0003160778475929152,0.244,-0.003996698277830335,-0.009883909799980387,0.0027579103711784397,500,2B_actual
