feature,importance
year_c,0.45117679901181773
log_cap,0.3684010390158117
is_EU,0.0874725058019524
is_Asia,0.0396360973339725
sponsor_type_num,0.029495141575136125
is_NA,0.014730496523642026
cbam_endex,0.0090879207376675
