year,forecast_mean,forecast_lo95,forecast_hi95
2027,-0.02755107591521995,-2.2161114924114003,2.179296346551236
2028,0.1617806230153116,-2.592741845855601,2.873498700131416
2029,0.2786629950214776,-2.5429847603000715,3.1108462051347137
2030,0.2730372513710804,-2.76413193559253,2.984050138019001
