policy,N,N_treated,N_control,ATE,ATE_ci_lo,ATE_ci_hi,CATE_mean,CATE_std,CATE_p10,CATE_p90,BLP_R2
US 45Q,218,40,178,0.023705853561230998,-0.3085382581402005,0.3559499652626625,0.023705853561230998,0.0931159798053488,-0.12640276159259625,0.12460584207562132,0.7226079200997148
UK Track-1/HAR1,541,31,510,-0.11480454508756778,-0.812475902542921,0.5828668123677854,-0.11480454508756782,0.3074218150855843,-0.4311510440739485,0.2537875169872316,0.30666561387218905
China 14th FYP,641,173,468,0.12490927337815665,-0.2705751280228532,0.5203936747791664,0.12490927337815665,0.17167518973117837,-0.04631782633185222,0.3322581374388568,0.4181073962104209
EU IF eligible,541,289,252,0.1430885616159186,-0.34381402326814003,0.6299911464999771,0.1430885616159186,0.1698371324681322,-0.03819543831146101,0.3415826241752664,0.5805493609646132
