log_capacity,is_mega,is_blue,sp_oil_major,sp_industrial_gas,sect_chemical,sect_power_heat,sect_transport,sect_industry,sect_gas_grid,announce_year,failure,treat_45Q,cate,Geography,Primary owner,policy,treat_UK_Track,treat_China_FYP,treat_EU_IF_eligible
0.0,0,1,0,0,0,0,0,0,0,2023.0,1,1.0,0.024645980159556727,United States,,US 45Q,,,
0.0,0,1,0,0,0,0,0,0,0,2022.0,0,0.0,0.007732988270993913,United States,Woodside Energy Group Ltd,US 45Q,,,
0.0,0,1,0,0,1,0,0,0,0,2013.0,0,0.0,-0.10234360456978249,United States,Nutrien Ltd.,US 45Q,,,
7.601402334583733,0,1,0,0,0,0,0,0,0,2025.0,0,1.0,0.06524860205365411,United States,,US 45Q,,,
0.0,0,1,0,0,0,0,1,0,0,2025.0,0,1.0,0.024838834618657303,United States,,US 45Q,,,
0.0,0,1,0,0,0,0,1,0,0,2025.0,0,0.0,0.024838834618657303,Finland,,US 45Q,,,
10.675630739322571,0,0,0,0,0,0,1,0,0,2025.0,0,0.0,0.12137698991228685,United States,Synergen Green Energy,US 45Q,,,
0.0,0,0,0,0,0,0,1,0,0,2025.0,0,0.0,0.029034777418771134,United States,,US 45Q,,,
0.0,0,1,0,0,0,0,0,0,0,2025.0,0,1.0,0.02352551620677975,United States,Sandpiper Chemicals LLC,US 45Q,,,
11.603688960617083,1,1,0,1,1,0,0,0,0,2023.0,0,0.0,0.11357705214243054,Netherlands,"Air Products and Chemicals, Inc.",US 45Q,,,
13.76421831620775,1,1,0,0,0,0,0,0,0,2023.0,0,1.0,0.13120742213332598,United States,RWE AG,US 45Q,,,
11.80061253740951,1,1,0,0,1,0,0,0,0,2022.0,1,0.0,0.1106510542027471,Netherlands,Yara International,US 45Q,,,
12.103491596905931,1,1,0,0,1,0,0,0,0,2025.0,0,1.0,0.12042768126418325,United States,Cronus Chemicals,US 45Q,,,
0.0,0,1,0,0,0,0,0,0,0,2025.0,0,0.0,0.02352551620677975,Poland,Jastrzebska Spolka Weglowa SA,US 45Q,,,
11.68126641357639,1,1,0,0,0,0,0,0,0,2010.0,1,0.0,-0.0742079980393957,United States,,US 45Q,,,
12.02375908870422,1,1,0,1,0,0,0,0,0,2010.0,1,0.0,-0.026349490708076122,United States,"Praxair, Inc",US 45Q,,,
8.60813018640834,0,1,0,0,0,0,0,0,0,2023.0,1,1.0,0.08388516023335013,United States,Black Hills Energy,US 45Q,,,
10.853773831668242,0,1,0,0,1,0,0,0,0,2021.0,1,0.0,0.026232915644456935,United States,Howard Midstream Energy Partners LLC,US 45Q,,,
9.210440366976517,0,1,0,0,1,0,0,0,0,2023.0,0,1.0,0.09427826323268376,United States,Grannus LLC,US 45Q,,,
11.613232231925368,1,1,0,0,0,0,0,0,0,2024.0,0,1.0,0.11211503318172972,United States,Bia Energy LLC,US 45Q,,,
0.0,0,1,0,0,0,0,0,0,0,2024.0,1,1.0,0.02352551620677975,United States,Marathon Petroleum Corporation,US 45Q,,,
0.0,0,1,0,1,0,0,0,0,0,2019.0,1,0.0,-0.109646651943993,United States,Linde-BASF,US 45Q,,,
12.022396171249941,1,1,0,0,1,0,0,0,0,2022.0,1,0.0,0.11572046520401914,United States,Northern Plains Nitrogen LLP,US 45Q,,,
10.363061986291324,0,1,0,0,1,0,0,0,0,2021.0,1,0.0,0.03252038803962903,United States,Phillips 66,US 45Q,,,
0.0,0,1,0,0,0,0,0,0,0,2022.0,1,0.0,0.007732988270993913,United States,"North Shore Energy, LLC",US 45Q,,,
0.0,0,1,1,0,0,1,0,0,0,2018.0,1,0.0,-0.098671108413701,United Kingdom,Equinor ASA,US 45Q,,,
11.330611908144274,0,1,0,0,1,0,0,0,0,2020.0,1,0.0,-0.06636862734057301,Sweden,Preem AB,US 45Q,,,
12.154784614286667,1,1,0,0,0,0,0,0,0,2021.0,1,0.0,0.05764121002871866,United States,"Mitsubishi Gas Chemical Company, Inc.",US 45Q,,,
11.567470466822025,1,1,0,0,0,0,0,0,0,2011.0,1,0.0,-0.0836383331329274,United States,SCS Energy LLC,US 45Q,,,
12.759960632315702,1,1,0,0,0,0,0,1,0,2022.0,1,0.0,0.12377928332639818,United States,"Bakken Energy, LLC",US 45Q,,,
11.23850177707664,0,1,0,0,0,0,0,1,0,2022.0,0,0.0,0.11145900181000842,United States,Dakota Gasification Company Inc.,US 45Q,,,
14.543542623236126,1,1,0,0,1,0,0,0,0,2023.0,0,1.0,0.13135651081460403,United States,,US 45Q,,,
12.896719202134523,1,1,0,0,1,0,0,0,0,2023.0,0,1.0,0.13135651081460403,United States,"TransGas Development Systems, LLC",US 45Q,,,
9.90353755128617,0,1,0,0,0,1,0,0,0,2025.0,0,0.0,0.09631134803261616,United Kingdom,EnergyPathways plc,US 45Q,,,
12.531776395271262,1,1,1,0,0,0,0,0,0,2025.0,0,1.0,0.13001199168472702,United States,Chevron,US 45Q,,,
9.682404377188837,0,0,0,0,0,0,1,0,0,2025.0,0,0.0,0.10181108114854877,United States,"Infinium Holdings, Inc.",US 45Q,,,
9.105090961257085,0,0,0,0,0,0,0,0,0,2025.0,0,0.0,0.09938983119376404,United States,"Verdagy, Inc.",US 45Q,,,
12.154784614286667,1,1,0,0,0,1,0,0,0,2023.0,1,1.0,0.1285959424301014,United States,Yara International,US 45Q,,,
0.0,0,1,0,0,0,0,0,0,0,2025.0,0,1.0,0.02352551620677975,United States,Graphitic Energy,US 45Q,,,
5.41610040220442,0,0,0,0,1,0,0,0,0,2025.0,0,0.0,0.047512946112328466,United States,,US 45Q,,,
10.439044812521303,0,0,0,0,0,0,1,0,0,2024.0,0,0.0,0.12084185737937032,United States,ETFuels,US 45Q,,,
0.0,0,1,0,0,0,0,0,0,0,2024.0,0,0.0,0.02352551620677975,Finland,Oulun Energia,US 45Q,,,
9.392745258631441,0,1,0,0,0,0,0,0,0,2022.0,1,0.0,0.08556860188747625,Sweden,,US 45Q,,,
6.594413459749778,0,0,0,0,0,0,1,0,0,2024.0,0,0.0,0.06582114332225585,United States,,US 45Q,,,
12.95681397831564,1,1,0,0,0,0,1,0,0,2022.0,0,0.0,0.12566921784580118,United States,"Clean Hydrogen Works LA-1, L.L.C.",US 45Q,,,
12.114510931441727,1,1,0,0,0,0,1,0,0,2022.0,1,0.0,0.11718841997999493,United States,Newpoint Gas LLC,US 45Q,,,
10.780995875187799,0,0,0,0,0,1,0,0,0,2024.0,0,0.0,0.12514873837614007,United States,,US 45Q,,,
10.375551557748782,0,0,0,0,0,1,0,0,0,2024.0,0,0.0,0.12348382760650166,United States,,US 45Q,,,
7.509883061154913,0,1,0,0,0,0,0,0,0,2024.0,0,1.0,0.06267751610713838,United States,"Babcock & Wilcox Enterprises, Inc.",US 45Q,,,
10.281958234245314,0,0,0,0,0,0,0,1,0,2024.0,0,0.0,0.11765469406857283,United States,,US 45Q,,,
9.301186055275759,0,0,0,0,0,0,0,1,0,2024.0,0,0.0,0.0977515336877662,United States,,US 45Q,,,
13.63318980117,1,1,0,0,0,0,0,0,0,2024.0,0,0.0,0.13001199168472702,United Kingdom,Associated British Ports,US 45Q,,,
10.596659732783579,0,1,0,0,0,0,0,0,0,2023.0,0,0.0,0.11092618785988566,United Kingdom,BOC,US 45Q,,,
12.09921656763201,1,1,0,0,0,1,0,0,0,2024.0,0,1.0,0.12106822487742964,United States,Ten08 Energy LLC,US 45Q,,,
11.592669666556795,1,1,0,0,1,0,0,0,0,2024.0,0,1.0,0.11119010160311246,United States,"CF Industries Holdings, Inc.",US 45Q,,,
12.316634112761312,1,1,0,0,0,0,0,0,0,2023.0,0,1.0,0.13120742213332598,United States,Copenhagen Infrastructure Partners P/S,US 45Q,,,
12.026951960476097,1,1,0,0,0,1,0,0,0,2024.0,0,1.0,0.1226424292261656,United States,8 Rivers Capital LLC,US 45Q,,,
12.345838935721968,1,1,0,0,0,0,0,1,0,2022.0,1,0.0,0.12377928332639818,Germany,VNG AG,US 45Q,,,
12.460718739865236,1,1,1,0,0,0,0,1,0,2021.0,1,0.0,0.06345791047446193,Netherlands,Equinor ASA,US 45Q,,,
12.154784614286667,1,1,0,0,1,0,0,0,0,2024.0,0,1.0,0.1268149314631256,United States,INEOS Nitriles USA,US 45Q,,,
0.0,0,1,0,0,0,0,0,0,0,2024.0,0,1.0,0.02352551620677975,United States,NW Natural,US 45Q,,,
10.580937168488774,0,1,0,1,0,0,0,1,0,2013.0,0,0.0,-0.0715215604344905,France,L'Air Liquide S.A.,US 45Q,,,
12.337105293891872,1,1,0,0,0,0,0,0,0,2023.0,0,1.0,0.13120742213332598,United States,"Idemitsu Kosan Co.,Ltd.",US 45Q,,,
4.990432586778736,0,1,0,0,0,0,0,0,0,2021.0,1,0.0,-0.06553702096679014,Germany,HiiROC Limited,US 45Q,,,
12.250094315624496,1,1,0,0,0,1,0,0,0,2023.0,1,1.0,0.1321695857054266,United States,Inpex Corp,US 45Q,,,
11.173964133120124,0,1,0,0,1,0,0,0,0,2022.0,0,0.0,0.10911699427934576,United States,Lapis Energy,US 45Q,,,
12.685410698175234,1,1,0,0,1,0,0,0,0,2022.0,0,0.0,0.12437317223254184,United States,"CF Industries Holdings, Inc.",US 45Q,,,
12.154784614286667,1,1,0,0,0,1,0,0,0,2023.0,0,1.0,0.1285959424301014,United States,"CF Industries Holdings, Inc.",US 45Q,,,
