sector,n,n_treated,beta,p
chemical,154,36,-0.07118044166709611,0.34382736320962626
refinery,71,34,-0.25689397053181684,0.013543216569913124
power_heat,100,13,-0.2283542397416256,0.006570541178626038
transport,239,33,-0.20560700228637038,1.113565396101902e-06
industry,180,31,0.009030425172044504,0.8978908754886008
gas_grid,50,10,0.03996226403787587,0.8110951542079774
