subgroup,N,cancel_rate,beta_cbam_x_post,se,p,ci_lo,ci_hi
Q2,267,0.10486891385767791,0.06706083078235119,0.053052896956801224,0.2062167059280432,-0.036922847252979216,0.17104450881768157
Q1_smallest,224,0.24553571428571427,0.1996333822764485,0.30768503714395484,0.5164522568375083,-0.40342929052570303,0.8026960550786
Q3,84,0.42857142857142855,0.2504091679436629,0.2005720078488309,0.2118571025781396,-0.1427119674400456,0.6435303033273714
Q4_largest,53,0.6037735849056604,0.09717056727809206,0.22085938005577574,0.6599618990319476,-0.33571381763122843,0.5300549521874125
