event_bin,beta,se,ci_lo,ci_hi,p,is_ref,period
-1,0.0,0.0,0.0,0.0,,True,
-7,-0.2316231954772066,0.3344793884766542,-0.8872027968914489,0.4239564059370356,0.48863048249572694,False,pre
-5,-0.22310427798682808,0.16557294880678033,-0.5476272576481176,0.10141870167446138,0.17782949880679066,False,pre
-3,0.14219093220206663,0.2705578155564188,-0.3881023862885142,0.6724842506926474,0.599202773925493,False,pre
0,0.41668810254887856,0.27428031021154897,-0.12090130546575739,0.9542775105635145,0.12871082621271074,False,treat
1,-0.3134568577625113,0.21603227398536196,-0.7368801147738208,0.10996639924879814,0.14678755776199942,False,post
2,0.2674223629791052,0.27264129806816817,-0.2669545812345044,0.8017993071927147,0.3266628355983331,False,post
