model,n_covariates,HR_Blue,CI_lo,CI_hi,p_value,c_index,log_likelihood,AIC_partial,n_events
Model 1: univariate,1,3.5507350057132383,2.027212194068287,6.219239958050833,9.377179610579605e-06,0.6151675485008818,-327.54184340605036,657.0836868121007,49
Model 2: + capacity,2,3.046186144169883,1.6638189359699307,5.577079226786898,0.00030629886386609323,0.6759726112667289,-326.3903109343143,656.7806218686286,49
Model 3: + region,5,2.3137983044095933,1.1911917436712802,4.494375168340739,0.013270163358950506,0.7041913061520905,-319.3722205248789,648.7444410497578,49
Model 4: + vintage,7,2.286078120805095,1.1842971773022755,4.41287311545272,0.013737957855402976,0.7052495072102916,-318.7859498396586,651.5718996793172,49
Model 5: + features,8,1.8782560476592298,0.9581206706386247,3.6820474588206356,0.06644713191357368,0.7244319950202304,-316.37212871394144,648.7442574278829,49
