t,tau_H,tau_H_ci_lo,tau_H_ci_hi,tau_H_p,tau_F,tau_F_ci_lo,tau_F_ci_hi,n_boot_valid
2024,-1.2079491012073357e-05,-0.0010562707586092986,0.0011588140696698,1.0,-8.287757247749106e-05,-0.007225210420467013,0.00799951806205067,500
2025,0.00021839756267271783,-0.00110297812602199,0.0014562286774982174,0.744,0.0017096502794426982,-0.008581095887603543,0.011447928069933446,500
2026,-0.0002393747270135532,-0.0016092121893498195,0.001269216873518977,0.788,-0.0020919762806724806,-0.013935993081087056,0.01114931946814127,500
