year,rel_year,DiD,treated,control
2019,-2,-0.12691326530612246,0.0,0.21875
2020,-1,-0.09566326530612244,0.0,0.1875
2021,0,0.0,0.0,0.09183673469387756
2022,1,0.011836734693877554,0.0,0.08
2023,2,0.01929787459025062,0.0,0.07253886010362694
2024,3,0.09416192984418481,0.07407407407407407,0.07174887892376682
2025,4,0.19253931080628972,0.17857142857142858,0.0778688524590164
2026,5,0.2346938775510204,0.5714285714285714,0.42857142857142855
