region,2018,2019,2020,2021,2022,2023,2024,2025,2026
Africa,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.007142857142857143,0.006211180124223602,0.006134969325153374
Asia-Pacific,0.03125,0.025974025974025976,0.013071895424836602,0.007042253521126761,0.008830022075055188,0.015202702702702704,0.01824817518248175,0.018,0.020250723240115717
Europe (EU-27),0.005988023952095809,0.005,0.006968641114982578,0.006198347107438017,0.011494252873563218,0.015957446808510637,0.019813519813519812,0.02233502538071066,0.027916251246261216
Europe (non EU-27),0.0,0.0,0.0,0.0,0.01282051282051282,0.020761245674740483,0.03773584905660377,0.04594594594594595,0.06199460916442048
Latin America,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.005235602094240838,0.02564102564102564
Middle East,0.0,0.0,0.0,0.0,0.02857142857142857,0.016129032258064516,0.012987012987012988,0.010416666666666666,0.041237113402061855
North America,0.08888888888888889,0.0784313725490196,0.05063291139240506,0.028368794326241134,0.03286384976525822,0.033444816053511704,0.03488372093023256,0.03713527851458886,0.05511811023622047
