t,Hbar_0,Hbar_1,diff
2018,0.04959694113937206,0.0,-0.04959694113937206
2019,0.019610356576640633,0.0,-0.019610356576640633
2020,0.01418653813959863,0.0,-0.01418653813959863
2021,0.005669177167757425,0.0,-0.005669177167757425
2022,0.0031201880884959322,0.0014336978957225032,-0.001686490192773429
2023,0.00675197815281687,0.0020080564193624135,-0.004743921733454457
