t,Hbar_1_t,Hbar_0_t,delta_Hbar_1,delta_Hbar_0,tau_H_t
2024,0.003105712376629411,0.008036828950013477,0.0010976559572669973,0.001284850797196607,-0.0001871948399296097
2025,0.0024039202409859555,0.006716491510026373,0.000395863821623542,-3.548664279049655e-05,0.0004313504644140385
2026,0.0026393428897896827,0.005921255227802626,0.0006312864704272692,-0.0008307229250142439,0.001462009395441513
