event,n_events,concordance,HR_Blue,CI_lo_Blue,CI_hi_Blue,p_Blue
cancel,49,0.7244319950202304,1.8782560476592298,0.9581206706386247,3.6820474588206356,0.06644713191357368
on_hold,227,0.8177346614036167,2.367521507431728,1.7430034847925044,3.2158042924504344,3.4682493629195794e-08
decomm,91,0.9366994798366799,1.0727873118296678,0.40502408302689785,2.841491814071448,0.8875749108123143
any_failure,367,0.6336383491489682,2.1045994511588613,1.6381169938932498,2.7039209447984183,5.871292166075677e-09
