t,F_1_t_observed,F_1_t_counterfactual,tau_F_t
2024,0.021505376344086002,0.02278672065821885,-0.0012813443141328484
2025,0.01904761904761909,0.01565669758963817,0.003390921457980922
2026,0.023474178403755874,0.010540061579763615,0.012934116823992259
