event_type,n_events,beta_blue,HR_blue,se_blue,p_blue,beta_logcap,p_logcap,beta_eu,p_eu,concordance,label
1,31,1.8140049238951945,6.134968378649274,0.396529200813936,4.7688682686196595e-06,0.1807605737449123,0.05140172694868499,-0.2858819939370861,0.5177018116879646,0.7527853143219997,Type 1 (pre-commissioning?)
2,12,-0.1421379993832236,0.867501533548683,0.5405484543443263,0.7925880005281827,0.20668280727482466,0.056523151375304156,-0.7985966535882923,0.15800649631327052,0.7633577246997101,Type 2 (post-commissioning?)
0,43,1.4029613737189761,4.067226728530381,0.3412599753884143,3.9374116574154504e-05,0.24319898718265837,0.0009833090368543248,-0.6285121134230733,0.11137548284540907,0.7105101034992607,Pooled (all events)
