spec,beta,se,p,AME,AME_se,AME_p,DiD_spec
LPM (OLS),0.3456852386032031,0.18512711290513525,0.06186168017359777,0.3456852386032031,0.18512711290513525,0.06186168017359777,EU_2x2
Logit,1.696543025510775,0.8859426260165181,0.05549784478494797,0.3025813377566022,0.15399622273717267,0.049430203224464245,EU_2x2
Probit,1.0219182254893986,0.5319191347782574,0.054707639253390845,0.31077311854346207,0.1582045106007441,0.049486522405295975,EU_2x2
LPM (OLS),0.19543777571473336,0.20412309449139832,0.3383398779631045,0.19543777571473336,0.20412309449139832,0.3383398779631045,Triple_difference
Logit,1.1526950034497137,1.3411927953323648,0.39008947530413196,0.18917322700629036,0.21980583993589814,0.38943752897312445,Triple_difference
Probit,0.7921525809251124,0.7286418433579427,0.27696470150365227,0.2258897641755123,0.2071558616770709,0.2755220768595865,Triple_difference
