year,beta_int_mean,beta_int_lo,beta_int_hi
2018,2.4102347369641444,0.21084694490609635,6.539817692485772
2019,2.2247162806830225,-0.6283851389212913,8.024266623814698
2020,1.7313646399741858,-0.07969946850029985,6.132407103821901
2021,-1.269628222598304,-3.327084562069977,-0.5057458311124647
2022,-0.8584543579913854,-1.4154539399396333,-0.10136070734795058
2023,-1.4539047323619225,-1.935094940238703,-0.3301820745430141
2024,-1.2829102832154322,-2.2107534522261445,-0.7813455497628459
2025,-0.46361854091621657,-1.233925186595331,-0.21415423468366718
2026,-0.15091720860176402,-3.4649154847457133,1.8647156336040736
