policy,avg_ATT,avg_SE,naive_ci_lo,naive_ci_hi,max_pre_dev,median_pre_dev,CI_M0_lo,CI_M0_hi,CI_M1_lo,CI_M1_hi,CI_M2_lo,CI_M2_hi,breakdown_M,robust_M1,robust_M2
US_45Q,-0.0235881845237003,0.007192404113595656,-0.03768529658634778,-0.009491072461052815,0.09743844716914811,0.04883089159110297,-0.03768529658634778,-0.009491072461052815,-0.08651618817745076,0.039339819130050156,-0.13534707976855373,0.08817071072115312,0.2,False,False
EU_IF,0.008627544986646904,0.004514075827614882,-0.00022004363547826512,0.01747513360877207,0.03787126495038103,0.024086125139643984,-0.00022004363547826512,0.01747513360877207,-0.024306168775122247,0.041561258748416055,-0.04839229391476623,0.06564738388806005,0.0,False,False
UK_Track,0.0014083333459860789,0.009791855090057937,-0.01778370263052748,0.020600369322499635,0.01259496706674114,0.010080689755584998,-0.01778370263052748,0.020600369322499635,-0.027864392386112477,0.030681059078084633,-0.03794508214169748,0.040761748833669634,0.0,False,False
China_FYP,-0.013303005228127397,0.0028514815259077482,-0.018891909018906583,-0.007714101437348211,0.0066806158331131765,0.005280073857419825,-0.018891909018906583,-0.007714101437348211,-0.02417198287632641,-0.0024340275799283866,-0.029452056733746235,0.002846046277491439,1.5,True,False
