tau,beta_pre,se_pre,p_pre,beta_post,se_post,p_post,diff,se_diff,z_diff,p_diff,n_events_pre,n_events_post,AIC,BIC
2019,3.0978370482637057,0.6471163975601878,1.6917449108208394e-06,-1.1414805620553943,0.20916937041092878,4.836822403197472e-08,4.2393176103191,0.706150535072754,6.003419100832837,1.9320505195707938e-09,94,273,2337.0578144295982,2392.8253376147377
2020,3.39530639325523,0.711294542924171,1.8112503859731124e-06,-1.2539696660289914,0.2256947329412514,2.759587426089075e-08,4.6492760592842215,0.7810013347546536,5.952968135124585,2.6332258595829217e-09,97,270,2329.9125004450852,2385.6800236302247
2021,1.172057424866131,0.18735372318002752,3.953480108081204e-10,-0.8895825597249841,0.20648678222943218,1.6460220139263774e-05,2.0616399845911153,0.28060844651685324,7.3470346676371125,2.0272672429655358e-13,97,270,2368.812097404557,2424.5796205896963
2022,0.45653475087650863,0.12337520337561524,0.00021527950263289616,-0.9332066852177732,0.22969880274768367,4.849988562396849e-05,1.389741436094282,0.25385620955430965,5.474522126262831,4.3869382793104705e-08,107,260,2377.0897303942393,2432.8572535793787
2023,0.1119096856293694,0.10723735733913889,0.2966843933223118,-0.9425618753015472,0.2597700864044415,0.00028513175941125333,1.0544715609309165,0.2718051855945506,3.8795123007839245,0.00010466610842074786,116,251,2386.6624070117914,2442.429930196931
