state,variable,coef,p_value,RRR
cancelled,const,-6.325242442978204,2.0037700614602908e-21,0.0017905320959806154
cancelled,is_blue,1.289009782370483,0.00036015495364599036,3.62919108690314
cancelled,log_capacity_mw,-0.024974017444918516,0.5514831356539627,0.9753352534010589
cancelled,years_since_announce,1.0404945100960241,1.518766095773e-28,2.8306164367147253
cancelled,region_eu,-1.23164374601383,0.008615383086432695,0.29181251757795423
cancelled,region_asia,-1.7155586031211754,0.002375208323114764,0.17986322048950612
cancelled,region_americas,-0.1574288919971196,0.7103660567508292,0.8543375616864138
on_hold,const,-3.638550049625676,7.655210585950899e-19,0.026290436170877868
on_hold,is_blue,1.0809191874158381,5.609404382655599e-07,2.9473875078217615
on_hold,log_capacity_mw,-0.0718949379865676,0.003079706541462887,0.930628664396473
on_hold,years_since_announce,0.8332505185142343,3.403227118319882e-33,2.3007853438808366
on_hold,region_eu,-0.6297310798954143,0.025599491487752223,0.5327350449094448
on_hold,region_asia,-0.26862734984225994,0.32844414421004864,0.7644280668171198
on_hold,region_americas,-0.17021297138619518,0.5561229157343561,0.8434851592625239
decommissioned,const,-8.556651232881894,1.362724053031733e-17,0.000192262057663031
decommissioned,is_blue,0.4584219187194319,0.5211510777180015,1.5815761588964006
decommissioned,log_capacity_mw,-0.3219946721748166,5.848830985172628e-05,0.7247020514054573
decommissioned,years_since_announce,1.4277305316945301,1.7266944116036352e-42,4.169226519579649
decommissioned,region_eu,-0.2704517037265209,0.7506901289532744,0.7630347508413341
decommissioned,region_asia,-0.4928202320008603,0.5867196280577395,0.610901079660136
decommissioned,region_americas,-0.5168095530861017,0.5971280540512065,0.5964203632360806
