event,HR_Blue,CI_lo,CI_hi,p,n_events,n_total
cancel,2.29813605033486,1.196095446685351,4.415558407554126,0.012511264007129895,49,1354
on_hold,2.572664406927054,1.8806977677097392,3.5192268871192836,3.391110932501066e-09,227,1354
decomm,0.23490227115757606,0.09104891236919978,0.6060377390477594,0.002738789998262221,91,1354
