test,outcome,pre_period,post_period,did_green,did_blue,triple_diff,US_Green_pre,US_Green_post,NonUS_Green_pre,NonUS_Green_post,US_Blue_pre,US_Blue_post,NonUS_Blue_pre,NonUS_Blue_post
NPRM_2024,cancel_rate,2018–2023,2024–2026,0.06876906574079217,-0.21597710328449918,0.2847461690252914,0.024475524475524476,0.09990677876927227,0.007644078746731654,0.014306267299687281,0.24855072463768116,0.06393646066021345,0.03220834006679595,0.06357117937382742
NPRM_2024,onhold_rate,2018–2023,2024–2026,0.009781537723436616,-0.03881059517207293,0.048592132895509545,0.0,0.05063291139240506,0.0015159971375201693,0.04236737080648861,0.0,0.09019607843137255,0.002413194444444445,0.1314198680478899
NPRM_2024,failure_rate,2018–2023,2024–2026,0.1252026029929045,-0.24277034292175925,0.3679729459146638,0.18051847005651353,0.22889443177287808,0.21808200452316537,0.1412553632466254,0.2755032206119163,0.1661950856291884,0.08354843379659556,0.21701064173562692
FinalRule_2025,cancel_rate,2018–2024,2025–2026,0.060486181764050476,-0.18736294848494384,0.2478491302489943,0.03467765111600728,0.10191496267445635,0.00836455719896162,0.015115686993360218,0.22027675131692742,0.07058823529411765,0.03429052373310998,0.07196495619524405
FinalRule_2025,onhold_rate,2018–2024,2025–2026,0.015180683116373425,-0.05600783354758307,0.0711885166639565,0.0,0.0759493670886076,0.0016289697000131684,0.06239765367224734,0.0,0.13529411764705881,0.0029038742690058483,0.19420582546364773
FinalRule_2025,failure_rate,2018–2024,2025–2026,0.11813150360708316,-0.2325709890619875,0.35070249266907066,0.1801704303028433,0.2543005517689062,0.20225120901787877,0.1582498268768585,0.24518720898742913,0.21764705882352942,0.08247342779891983,0.2875042666970076
