treatment,exposure,beta_BEP,se,p,ci_lo,ci_hi,is_placebo,sig_05,n_obs
regulation_apr2023,cbam_T1,5.910554436195017,1.702004614990399,0.0005152475549013004,2.5746253908138357,9.246483481576199,False,True,36217
regulation_apr2023,cbam_T2,20.954445528719116,24.2504555025561,0.38754140942073156,-26.576447256290837,68.48533831372907,False,False,36217
transitional_oct2023,cbam_T1,98669.7666770684,2.481156642987581e+17,0.9999999999996827,-4.863067020254672e+17,4.863067020256646e+17,False,False,36217
transitional_oct2023,cbam_T2,-2.121986515725337,1.5836668305287303,0.18027142572546762,-5.225973503561648,0.9820004721109745,False,False,36217
definitive_jan2026,cbam_T2,-0.9179058025055198,1.1712704800385125,0.43322561948278693,-3.213595943381004,1.3777843383699648,False,False,36217
PLACEBO_jan2021,cbam_T1,31.208346621763237,1224.733672704385,0.9796707120826365,-2369.2696518788316,2431.686345122358,True,False,36217
PLACEBO_jan2021,cbam_T2,20.66570554429305,,,,,True,False,36217
PLACEBO_jan2022,cbam_T2,18.590672254574926,1033.2903616114338,0.9856454577531718,-2006.6584365038354,2043.8397810129852,True,False,36217
