sigma,beta_1,V_star_over_I,option_premium_pct
0.05,1.624404748406688,2.6015252967754163,160.15252967754162
0.1,1.531128874149275,2.882782218537318,188.27822185373182
0.15,1.4335784181225737,3.306387860193949,230.6387860193949
0.2,1.3507810593582121,3.8507810593582126,285.07810593582127
0.25,1.2850691680694775,4.507920575108559,350.79205751085595
0.3,1.2338540395721416,5.276171589037316,427.61715890373165
0.4,1.1625919067959651,7.150367627183863,615.0367627183863
0.5,1.1178346698278687,9.486466686424176,848.6466686424176
