block,period,beta_int_median,beta_int_lo,beta_int_hi,HR_at_zEUA_eq_1_median
0,2010-2019 Pre-crisis,-1.5870949113611408,-2.9690788185286974,-0.44430053116332624,1.942646867541629
1,2020-2022 Pandemic+ early crisis,-1.8076049017712625,-3.2734074703673803,-0.5469604895035478,1.5582157512422583
2,2023-2024 Peak cancellations,-0.8167447672419357,-2.443264730795828,0.6690619865788298,4.197132491540729
3,2025-2026 Normalization,-1.8758456807387551,-4.184062169750793,-0.1820331362459409,1.4554289068293444
