,beta,se,p,ci_lo,ci_hi,marg_dydx,marg_p
M1: Basic,-0.2111419953294461,0.2767044654762262,0.4454278597316058,-0.7534827476628494,0.3311987570039572,-0.03852535836055663,0.4449274318724371
M2: + tech,-0.30845872037177363,0.2832460076606757,0.2761479414921174,-0.863620895386698,0.24670345464315074,-0.054791056911726733,0.2750355082358421
M3: + region + capacity,-0.6511571168953357,0.3003227116001215,0.030144127795548877,-1.2397896316315737,-0.06252460215909761,-0.11163752236256497,0.028515822304462663
M4: Full + year,-0.643155063613995,0.30661359447437236,0.03593980657886937,-1.2441177087837647,-0.042192418444225166,-0.10827660739196217,0.034291695749001885
M5: T2 broad exposure,-0.34437127529879435,0.2043330872927023,0.09192247353154784,-0.7448641263924909,0.05612157579490218,-0.05822029836796545,0.09001388661920175
M6: T3 strict exposure,0.7893320242568332,0.3812574296063056,0.03842063470809426,0.04206746222847424,1.5365965862851922,0.13305573064768395,0.03623205965469693
