,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-1.5952152216054083,0.18329455846391535,-8.703014617422227,3.2318227106359203e-18,-1.9544659547568537,-1.235964488453963
is_blue,0.5289585693334415,0.4064064020068223,1.3015507795188765,0.19306999498406818,-0.26758334168643694,1.3255004803533201
T1_narrow,-0.5583735865180368,0.43513605100428066,-1.283216100411188,0.19941637679469826,-1.411224574861411,0.2944774018253373
post,-0.8513470879684152,0.25820689913110256,-3.2971508152311233,0.0009767103964856614,-1.3574233108251428,-0.3452708651116876
BE,-1.4054503586991827,0.9631014187638077,-1.4592963226065574,0.14448356711761012,-3.2930944529356747,0.48219373553730915
BP,1.0542200511532147,0.7021259103377474,1.5014686620040807,0.1332343862714554,-0.32192144572116943,2.430361548027599
EP,0.6676438716149481,0.6247978901090423,1.0685757461479715,0.28526088219389745,-0.5569374906153893,1.8922252338452856
BEP,-0.32239491530762177,1.7188369809085577,-0.18756573129885037,0.851217091864039,-3.6912534931839556,3.046463662568712
log_capacity,0.14694723240638255,0.03333315086646995,4.408441104024097,1.0411732481373914e-05,0.08161545721686135,0.21227900759590373
