treatment,exposure,beta_EP,se,p,ci_lo,ci_hi,is_placebo,sig_05,n_obs
CBAM_agreement_2022,T1_narrow,0.857617530604005,0.5850128251659344,0.14265353569974293,-0.2890076067212264,2.0042426679292364,False,False,628
CBAM_agreement_2022,T2_broad,0.18394326762116955,0.42749970919538044,0.6669941979716983,-0.6539561624017761,1.0218426976441153,False,False,628
CBAM_agreement_2022,T3_strict,1.5467513763899476,0.7726179997953921,0.045288888173831254,0.032420096790979125,3.0610826559889164,False,True,628
CBAM_regulation_2023,T1_narrow,0.3145424423718646,0.6824611684575463,0.6448744626028776,-1.0230814478049262,1.6521663325486553,False,False,628
CBAM_regulation_2023,T2_broad,0.07604186931484684,0.48797400606541524,0.876165601462825,-0.880387182573367,1.0324709212030607,False,False,628
CBAM_regulation_2023,T3_strict,0.7540449904629265,0.9104044085557935,0.4075273536278706,-1.0303476503064288,2.5384376312322816,False,False,628
PLACEBO_2018,T1_narrow,2.669392802079152,1.1322222790368177,0.018390632143133218,0.4502371351669896,4.888548468991315,True,True,628
PLACEBO_2018,T2_broad,-0.5617582824458391,0.4309012391076968,0.1923419553214576,-1.4063247110969248,0.2828081462052465,True,False,628
PLACEBO_2018,T3_strict,1.5155774548808192,1.2045273330538953,0.20830707899420764,-0.8452961179048155,3.876451027666454,True,False,628
PLACEBO_2020,T1_narrow,1.427331380711671,0.7678676495986724,0.06305198513367351,-0.07768921250172678,2.9323519739250687,True,False,628
PLACEBO_2020,T2_broad,-0.6587380651051157,0.41297070384674106,0.1106852761062168,-1.4681606446447282,0.15068451443449682,True,False,628
PLACEBO_2020,T3_strict,0.6490875113567993,0.8665880135989928,0.4538481017414816,-1.0494249952972265,2.347600018010825,True,False,628
