event,group,CAR_end_pct,t_stat,n_tickers
CBAM_definitive_launch,FERTILIZER,9.152873211658685,5.098668982341048,4
CBAM_definitive_launch,STEEL,5.32556910725096,1.9461373861858156,3
CBAM_definitive_launch,OIL_MAJOR,10.167952443369824,5.095763132282913,5
CBAM_definitive_launch,INDGAS,7.011811819997864,2.151366463680575,3
CBAM_definitive_launch,PEM_PURE,-0.9165342946503081,-0.09539608263548441,5
EC_rejects_suspension,FERTILIZER,12.253546052823951,1.7694311323558005,4
EC_rejects_suspension,STEEL,-22.593635721248262,-2.158247444653492,3
EC_rejects_suspension,OIL_MAJOR,23.394777083465392,5.082906557199471,5
EC_rejects_suspension,INDGAS,6.845737072946862,5.611589740171554,3
EC_rejects_suspension,PEM_PURE,7.93951081732154,1.354698364981599,5
CBAM_three_months_pre,FERTILIZER,-1.6548002960800092,-1.7883373193403738,4
CBAM_three_months_pre,STEEL,12.18160575560722,2.9436227332103817,3
CBAM_three_months_pre,OIL_MAJOR,-0.15381343315167748,-0.17342868756060173,5
CBAM_three_months_pre,INDGAS,-8.663528044991708,-3.114375061558548,3
CBAM_three_months_pre,PEM_PURE,33.284768400475194,5.12353844128877,5
CBAM_one_year_pre,FERTILIZER,11.432075733098282,4.193846218240286,4
CBAM_one_year_pre,STEEL,16.496964237273396,3.415743979279717,3
CBAM_one_year_pre,OIL_MAJOR,7.077309088374414,3.335142198674026,5
CBAM_one_year_pre,INDGAS,7.7888577173058176,7.882536226196626,3
CBAM_one_year_pre,PEM_PURE,-6.557007838533495,-1.8598661044496438,5
