scenario,n_target_projects,extra_FIDs_point,extra_FIDs_CI_lo,extra_FIDs_CI_hi,extra_capacity_ty_point,extra_capacity_kty_point,extra_co2_ty_point,extra_co2_mty_point,extra_co2_mty_CI_lo,extra_co2_mty_CI_hi
S1: EU 45Q-equivalent (Blue),26,3.5100000000000002,1.8047976075045866,5.488492939032979,345318.525,345.318525,3402420.2550000004,3.4024202550000004,1.5363736225021756,5.831999391275223
S2: EU offtake-mandate (Green),250,83.25,39.12801537319099,128.0386416108613,857890.584,857.890584,0.0,0.0,0.0,0.0
S3: UK switch to 45Q,28,6.803999999999999,3.530644756979937,10.135348430750124,1242479.412,1242.479412,12252432.275999999,12.252432275999999,5.609858036068856,20.275455880939298
S4: OECD China-FYP-equivalent,729,98.415,31.825436715559512,160.1621985850503,976129.7850000001,976.1297850000002,0.0,0.0,0.0,0.0
S5: EU sector-optimal mix,337,113.19300000000001,81.6025584856634,141.28302652344772,1761642.2160000005,1761.6422160000004,7828366.572000001,7.828366572,2.9526743009968364,15.73184247431566
